artist,asin,media,review_count,star_rating,title,year,
Rigor Mortis,B000E97HMQ,"Audio CD,MP3 Music",19,4.1,Freaks,2014,
Crematorium,B0009NCP9C,Audio CD,4,4.8,The Process of Endtime,2005,
The Gathering,B000AE8RYM,"Audio CD,MP3 Music,Vinyl",6,4.5,Accessories Rarities & B-Sides,2006,
Soul Embraced,B00008BNTI,"Audio CD,MP3 Music",18,4.1,Immune,2003,
Necrodeath,B000F0UVF4,"Audio CD,MP3 Music",18,4.1,100% Hell,2001,
Internal Bleeding,B0000021KG,"Audio CD,MP3 Music",4,4.8,Extinction of Benevolence,1997,
Trouble,B002JYPVUE,"Audio CD,MP3 Music,Vinyl",9,4.3,Live in Los Angeles,2009,
Tony Danza Tapdance Extravaganza,B000VAK28E,"Audio CD,MP3 Music",18,4.1,Danza II: The Electric Boogaloo,2007,
Textures,B00NI9BT32,"Audio CD,MP3 Music,Vinyl",18,4.1,Polars 10th Anniversary Release,2015,
Fleshgore,B000F5WN5A,Audio CD,6,4.5,May God Strike Me Dead,2006,
Krisiun,B000CSULQS,"Audio CD,MP3 Music,Vinyl",18,4.1,Assassination,2006,
Various Artists,B0003JANYQ,Audio CD,4,4.8,This Is Solid State 5,2004,
Harvey Milk,B0000AHECR,"Audio CD,MP3 Music,Vinyl",4,4.8,Singles,2003,
Nachtmystium,B000F8DTMI,"Audio CD,MP3 Music,Vinyl",12,4.2,Instinct: Decay,2006,
King's Evil,B00006AFJY,Audio CD,6,4.5,Deletion of Humanoise,2002,
Last Chapter,B0000021KL,Audio CD,4,4.8,The Living Waters,1998,
Infernal,B000F4L7HQ,Audio CD,6,4,From Paris to Berlin Pt 2,2006,
Devourment,B000F05YUG,"Audio CD,MP3 Music",8,3.9,Molesting the Decapitated,1995,
Mouth of the Architect,B000EWBN96,"Audio CD,MP3 Music,Vinyl",4,4.2,Time & Withering,2006,
Mercy,B000BUEBNQ,Audio CD,2,4.8,Witchburner,2005,
Dismember,B000A2H72M,"Audio CD,Audio CD,Vinyl",4,4.2,Complete Demos,2005,
Golem,B0001NPUBU,Audio CD,2,4.8,Dreamweaver,2004,
Disembodied,B00008DCST,"Vinyl,MP3 Music,Audio CD",6,4,The Diablerie,2003,
Venom,B00006F7Y1,"Audio CD,Audio CD",3,4.4,Better Live Than Dead,2003,
Various Artists,B00005J9W0,Audio CD,4,4.2,Under the Guillotine: Tribute to Kreator,2001,
