artist,asin,media,review_count,star_rating,title,year
AC/DC,B0000CDLKZ,"Vinyl,MP3 Music,Audio CD,Audio, Cassette",2192,4.8,For Those About to Rock We Salute You,2009
Rage Against The Machine,B00004WX67,"Vinyl,MP3 Music,Audio CD,Audio, Cassette,MiniDisc",2178,4.8,Evil Empire,2011
BABYMETAL,B019GE1P0O,"Audio CD,MP3 Music,Vinyl",2153,4.8,Metal Resistance,2016
My Chemical Romance,B0046BQ06W,"Vinyl,MP3 Music,Audio CD",2106,4.8,Danger Days: The True Lives of the Fabulous Killjoys,2011
System of a Down,B06WVP8YXG,"Audio CD,MP3 Music,Vinyl",2115,4.8,System Of A Down Gold Series,2016
Ozzy Osbourne,B00JRBGGL0,"Audio CD,MP3 Music,Vinyl,Audio, Cassette,MiniDisc",2086,4.8,No More Tears,2014
Meat Loaf,B000002OMN,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",2071,4.8,Bat out of Hell II: Back into Hell,1993
Black Sabbath,B00382X4X2,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",2088,4.8,Mob Rules,2010
Halestorm,B007CMD5AQ,"Audio CD,MP3 Music,Vinyl",2059,4.8,The Strange Case Of...,2012
Korn,B00002ZZ4P,"Audio CD,MP3 Music,Vinyl",2078,4.8,Issues,2000
Iron Maiden,B00N3AYQKE,"Vinyl,MP3 Music,Audio CD,Audio, Cassette",1936,4.8,Seventh Son of a Seventh Son,2014
Aerosmith,B0000029AP,"Audio CD,Multimedia CD",1946,4.8,Toys In The Attic,1993
Iron Maiden,B0000251W3,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",1936,4.8,Seventh Son of a Seventh Son,1998
Def Leppard,B000001DVD,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",1948,4.8,High 'n' Dry,1992
Ozzy Osbourne,B00008ADHP,"Audio CD,MP3 Music",1950,4.8,The Essential Ozzy Osbourne,2006
A Perfect Circle,B00004T99Z,"Audio CD,MP3 Music,Vinyl",1887,4.8,Mer De Noms,2000
Rammstein,B073FV57ZC,"Vinyl,Audio CD",1925,4.8,Sehnsucht,2017
Rammstein,B01M1J6ACL,"Vinyl,MP3 Music,Audio CD",1916,4.8,Rosenrot,2017
Nickelback,B000LV63QI,"Audio CD,MP3 Music,Vinyl",1913,4.8,All The Right Reasons,2007
Megadeth,B00CBM25JO,"Audio CD,MP3 Music,Vinyl,Audio DVD,Audio, Cassette",1887,4.8,Peace Sells But Who's Buying,2013
Pantera,B0036BDQ6U,"Vinyl,MP3 Music,Audio CD,Audio, Cassette",1874,4.8,Vulgar Display of Power,2010
Ghost,B004EJUMT2,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",1834,4.8,Opus Eponymous,2011
Five Finger Death Punch,B0105EGBVC,"Vinyl,Audio CD",1826,4.8,Got Your Six,2015
Judas Priest,B07578TSS1,"Vinyl,MP3 Music,Audio CD,Audio, Cassette",1800,4.8,Defenders of the Faith,2018
AC/DC,B009B0L324,"Audio CD,Vinyl",1797,4.8,Live At River Plate,2012
Iron Maiden,B000H7JD4A,"Audio CD,Audio CD",1822,4.8,A Matter Of Life And Death,2006
Avenged Sevenfold,B003OF3R0S,"Audio CD,MP3 Music,Vinyl",1754,4.8,Nightmare,2010
Carach Angren,B00R4W2NW0,"Audio CD,MP3 Music,Vinyl",69,4.9,This Is No Fairy Tale,2015
Marilyn Manson,B075G13YHC,"Vinyl,MP3 Music,Audio CD",1737,4.8,Heaven Upside Down,2017
IRON MAIDEN,B08KGM48CJ,"Vinyl,Audio CD",1753,4.8,"Nights Of The Dead - Legacy Of The Beast, Live In Mexico City",2020
Shinedown,B001AP5ZS6,"Audio CD,MP3 Music,Vinyl",1763,4.8,Sound of Madness,2008
Caliban,B076FNSM6D,Audio CD,69,4.9,Memoirs 2009-2017,2017
Led Zeppelin,B000094PYK,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",1765,4.8,Song Remains the Same,2003
Gojira,B01EGTGJ64,"Audio CD,MP3 Music,Vinyl",1744,4.8,Magma,2016
Iron Maiden,B0000251W7,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",1711,4.8,Fear of the Dark,2016
Korn,B000066SNT,"Audio CD,MP3 Music,Vinyl",1716,4.8,Untouchables,2010
In This Moment,B00OAKTEIU,"Audio CD,MP3 Music",1689,4.8,Black Widow,2014
Motley Crue,B001EN1R2W,"Audio CD,Vinyl,Audio, Cassette",1671,4.8,Shout At the Devil,2008
AC/DC,B0000CDLL2,"Vinyl,Audio CD,Audio, Cassette",1655,4.8,Who Made Who,2009
Incubus,B00005QF30,"Audio CD,MP3 Music,Vinyl",1654,4.8,Morning View,2010
Mastodon,B001RP22G2,"Vinyl,Audio CD",1592,4.8,Crack the Skye,2009
Iron Maiden,B00175G7E0,"Audio CD,MP3 Music,Vinyl",1589,4.8,Somewhere Back In Time - The Best Of 1980-1989,2008
Van Halen,B000002KK5,"Audio CD,Audio CD",1613,4.8,Van Halen 2,1987
AC/DC,B00365EB88,"Audio CD,MP3 Music",1606,4.8,Iron Man 2,2010
Dio,B000A3OWU6,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",1607,4.8,Holy Diver,2005
Van Halen,B00004Y6O7,"Audio CD,Audio CD",1612,4.8,Fair Warning,2000
Disturbed,B00TJF3LAI,"Vinyl,MP3 Music,Audio CD",1580,4.8,The Sickness,2015
Scorpions,B000001EUR,"Audio CD,MP3 Music,Vinyl,Audio DVD,Audio, Cassette",1539,4.8,Love At First Sting Remastered,1997
BABYMETAL,B016W63ZAM,"Vinyl,MP3 Music,Audio CD",1531,4.8,BabyMetal,2016
Deftones,B009M4KT9W,"Audio CD,MP3 Music,Audio CD,Vinyl",1533,4.8,Koi No Yokan,2012
Cinderella,B00074Q6CK,"Audio CD,MP3 Music",1513,4.8,"Rocked, Wired & Bluesed: The Greatest Hits",2005
Disturbed,B0014EAYQQ,"Audio CD,MP3 Music,Vinyl",1517,4.8,Indestructible,2008
Disturbed,B000HIVQYY,"Audio CD,MP3 Music,Vinyl",1496,4.8,Ten Thousand Fists Tour Edition,2008
Breaking Benjamin,B00W0H6L9K,"Audio CD,MP3 Music,Vinyl",1483,4.8,Dark Before Dawn,2015
Megadeth,B0002EXH4K,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",1478,4.8,Countdown to Extinction,2004
Nightwish,B00FPM1A16,"Audio CD,MP3 Music,Vinyl",1466,4.8,"Showtime, Storytime",2013
Iron Maiden,B00BEWCJFM,"Audio CD,Vinyl",1486,4.8,Maiden England '88,2013
Incubus,B0000296JB,"Audio CD,MP3 Music,Vinyl",1466,4.8,Make Yourself,1999
Alter Bridge,B000VLE3EW,"Audio CD,MP3 Music,Vinyl",1461,4.8,Blackbird,2007
Frei.Wild,B075N16DSJ,"Audio CD,MP3 Music,Vinyl",1464,4.8,Rivalen & Rebellen,2018
Kiss,B000001EL1,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",1445,4.8,Alive! Remastered,1997
Opeth,B000FGGERM,"Audio CD,MP3 Music,Vinyl",1442,4.8,Blackwater Park,2011
Korn,B01IS8EJN4,"Audio CD,MP3 Music,Vinyl",1438,4.8,The Serenity of Suffering,2016
Van Halen,B000002L9A,"Audio Cassette,Audio CD",1450,4.8,5150,1990
Quiet Riot,B0000025TG,"Audio, Cassette,MP3 Music,Audio CD,Vinyl",1441,4.8,Metal Health,1987
Motörhead,B00024I0LU,"Audio CD,MP3 Music,Vinyl",1451,4.8,Ace Of Spades,2004
Judas Priest,B004IY6API,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",1406,4.8,Stained Class,2010
Ozzy Osbourne,B0000252YK,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",1408,4.8,Ultimate Sin,2002
Puscifer,B08JV9JZ5C,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",1426,4.8,Existential Reckoning,2020
Bon Jovi,B00000I07Q,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",1404,4.8,New Jersey Remastered,1999
Thin Lizzy,B0000074FJ,"Audio CD,Audio CD",1412,4.8,Live & Dangerous,1996
Iron Maiden,B00004SV6S,"Audio CD,Vinyl,Audio, Cassette",1429,4.8,Brave New World,2000
Volbeat,B008S8480Y,"Vinyl,Audio CD",1406,4.8,Guitar Gangsters and Cadillac Blood,2012
Alice In Chains,B0000256C6,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",1425,4.8,Alice in Chains,
Five Finger Death Punch,B002IC1RR8,"Audio CD,MP3 Music,Vinyl",1392,4.8,War Is the Answer,2009
Sabaton,B00ISYLBHG,"Audio CD,MP3 Music,Vinyl",1381,4.8,Heroes,2014
Def Leppard,B0009299LU,Audio CD,1368,4.8,Rock Of Ages: The Definitive Collection,2005
Queensrÿche,B000FCUV5C,"Audio CD,Vinyl,Audio, Cassette",1359,4.8,Operation: Mindcrime,2006
Cinderella,B000001FK4,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",1338,4.8,Night Songs,1990
Jinjer,B01FGOH4E4,"Audio CD,MP3 Music,Vinyl",1333,4.8,King Of Everything,2022
Iron Maiden,B00LD22MPU,"Vinyl,MP3 Music,Audio CD,Audio, Cassette",1338,4.8,Killers,2014
Within Temptation,B004ITWEHQ,"Audio CD,MP3 Music",1337,4.8,The Unforgiving,2011
Van Halen,B00004Y6OA,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",1336,4.8,Women & Children First,2000
System of a Down,B000BPCCZ0,"Audio CD,MP3 Music,Vinyl",1326,4.8,Hypnotize,2005
