artist,asin,media,review_count,star_rating,title,year
Bloodstorm,B0006J6PS6,Audio CD,1,5,Visionaries of the Macabre Volume 2 - An Evil Elite,", et al."
Akercocke,B00017NVHG,Audio CD,1,5,Order of the Tyrants,
Marduk,B00008DALZ,"Vinyl,Audio CD",1,5,Hearse Picture,2003
Lord Belial,B000066ID9,"Audio CD,MP3 Music",2,4.2,Angelgrinder,2018
Limbonic Art,B000059Q3E,Audio CD,1,5,Volume 1,
Godkiller,B00004TL1X,Audio CD,1,5,Deliverance,2007
Beherit,B00002MY1Q,"Audio CD,Audio CD",1,5,"Werewolf, Semen And Blood",
And Oceans,B0000258DC,Audio CD,1,5,Symmetry of I,2010
Black Messiah,B0000246K0,"Audio CD,Vinyl",1,5,Sceptre of Black Knowledge,
Belphegor,B0000246JU,Audio CD,1,5,Last Supper/Blutsabbath,2005
Nocturnal Breed,B0000241VP,"Audio CD,MP3 Music",1,5,No Retreat... No Surrender,
Sepultura,B000002CSO,Audio CD,1,5,Refuse/Resist / Crucificados Pelo Sistema,1994
Vlad Tepes,B079Q14V6K,"Audio CD,Audio CD",3,3.8,War Funeral March,
Belphegor,B09NRJZ71N,"Vinyl,Audio CD",2,4,Blutsabbath - Ultra Blue,2022
Daemonarch,B08M1QXY5R,"Vinyl,Audio CD",2,4,Daemonarch,2021
Mae,B000KFVZOU,Unknown Binding,2,4,Tooth and Nail Vs. Solid State,", et al."
Bill Boris,B07Y1WKGZ8,"Vinyl,MP3 Music,Audio CD",2,4,Hold Back The Lightning,2019
Cradle Of Filth,B07PKC8F83,Audio CD,5,3.6,Cruelty & The Beast Remixed & Remastered,2019
VALHALL,B07KZ4MW14,"Audio CD,MP3 Music",2,4,Grim/more,2019
DAUTHA,B079PGX6PF,"Vinyl,MP3 Music,Audio CD",2,4,BRETHREN OF THE BLACK Analog,2018
Incantation,B00GO2OOFK,Audio CD,2,4,Celtic Christmas,", et al."
Nachtmystium,B00D9ZO8CE,"MP3 Music,Audio CD",2,4,Reign Of The Malicious,
Infernal,B00BNIPRR4,"Audio CD,MP3 Music",2,4,Infernal (Nasty Savage),
SAXORIOR,B0017VIT4A,"Audio CD,MP3 Music",2,4,Volkerschlacht,2020
Horde,B000QXR9BO,"Audio CD,MP3 Music",2,4,Alive in Oslo,
Isengard,B000OWLN1Y,"Audio CD,MP3 Music,Audio CD",2,4,Crownless Majesty,2001
