Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
9,Jose Alvarado,PG,24,NOP,61,10,21.5,3.3,8.0,.411,1.4,4.0,.336,1.9,4.0,.488,.496,1.1,1.3,.813,0.5,1.9,2.3,3.0,1.1,0.2,1.3,2.0,9.0,alvarjo01
10,Kyle Anderson,PF,29,MIN,61,45,27.9,3.5,6.9,.506,0.6,1.5,.416,2.9,5.5,.530,.550,1.6,2.1,.738,0.9,4.4,5.2,4.7,1.1,0.9,1.5,2.1,9.2,anderky01
11,Giannis Antetokounmpo,PF,28,MIL,59,59,32.2,11.2,20.3,.550,0.8,2.8,.285,10.4,17.5,.592,.570,7.9,12.3,.647,2.2,9.5,11.7,5.6,0.8,0.8,3.9,3.2,31.1,antetgi01
12,Thanasis Antetokounmpo,SF,30,MIL,30,0,4.2,0.3,0.9,.346,0.0,0.2,.000,0.3,0.7,.429,.346,0.1,0.3,.500,0.3,0.7,1.0,0.2,0.1,0.1,0.3,0.5,0.7,antetth01
13,Cole Anthony,PG,22,ORL,54,3,25.6,4.5,10.0,.445,1.2,3.4,.360,3.2,6.6,.489,.506,2.6,2.9,.891,0.8,3.9,4.6,3.9,0.6,0.5,1.5,2.6,12.7,anthoco01
14,OG Anunoby,SF,25,TOR,60,60,35.6,6.2,13.1,.472,2.0,5.3,.386,4.1,7.8,.530,.550,2.3,2.7,.839,1.4,3.6,5.1,1.9,2.0,0.7,2.1,3.0,16.6,anunoog01
15,Ryan Arcidiacono,PG,28,TOT,18,2,7.2,0.4,1.5,.259,0.3,0.9,.375,0.1,0.6,.091,.370,0.0,0.0,,0.0,0.6,0.6,0.9,0.3,0.0,0.3,0.8,1.1,arcidry01
15,Ryan Arcidiacono,PG,28,NYK,11,0,2.4,0.1,0.5,.200,0.1,0.3,.333,0.0,0.2,.000,.300,0.0,0.0,,0.0,0.4,0.4,0.2,0.2,0.0,0.1,0.3,0.3,arcidry01
15,Ryan Arcidiacono,PG,28,POR,7,2,14.7,0.9,3.1,.273,0.7,1.9,.385,0.1,1.3,.111,.386,0.0,0.0,,0.0,1.0,1.0,2.1,0.4,0.0,0.6,1.6,2.4,arcidry01
16,Deni Avdija,SF,22,WAS,72,36,26.2,3.2,7.3,.439,0.9,3.0,.304,2.3,4.4,.532,.501,1.6,2.1,.748,1.0,5.4,6.4,2.6,0.8,0.4,1.5,2.8,8.9,avdijde01
